"","MinPlayed","minExpected","Prob"
"1",1,4,0.0514705882352941
"2",2,4,0.110294117647059
"3",3,4,0.125
"4",4,4,0.0588235294117647
"5",5,4,0.125
"6",6,4,0.0882352941176471
"7",7,4,0.0294117647058824
"8",8,4,0.0735294117647059
"9",9,4,0.0514705882352941
"10",10,4,0.0294117647058824
"11",11,4,0.0220588235294118
"12",12,4,0.0147058823529412
"13",13,4,0.0367647058823529
"14",14,4,0.0441176470588235
"15",15,4,0.0147058823529412
"16",16,4,0.0147058823529412
"17",17,4,0.0220588235294118
"18",18,4,0.0147058823529412
"19",19,4,0.0441176470588235
"20",20,4,0
"21",21,4,0
"22",22,4,0
"23",23,4,0.0220588235294118
"24",24,4,0
"25",25,4,0
"26",26,4,0
"27",27,4,0
"28",28,4,0
"29",29,4,0
"30",30,4,0
"31",31,4,0
"32",32,4,0.00735294117647059
"33",33,4,0
"34",34,4,0
"35",35,4,0
"36",36,4,0
"37",37,4,0
"38",38,4,0
"39",39,4,0
"40",40,4,0
"41",41,4,0
"42",42,4,0
"43",43,4,0
"44",44,4,0
"45",45,4,0
"46",46,4,0
"47",47,4,0
"48",48,4,0
"49",1,5,0.0394736842105263
"50",2,5,0.0723684210526316
"51",3,5,0.125
"52",4,5,0.0723684210526316
"53",5,5,0.0855263157894737
"54",6,5,0.0460526315789474
"55",7,5,0.0526315789473684
"56",8,5,0.0592105263157895
"57",9,5,0.0460526315789474
"58",10,5,0.0197368421052632
"59",11,5,0.0394736842105263
"60",12,5,0.0526315789473684
"61",13,5,0.0394736842105263
"62",14,5,0.0460526315789474
"63",15,5,0.0263157894736842
"64",16,5,0.0328947368421053
"65",17,5,0.0328947368421053
"66",18,5,0.0460526315789474
"67",19,5,0.0197368421052632
"68",20,5,0
"69",21,5,0
"70",22,5,0.00657894736842105
"71",23,5,0.0328947368421053
"72",24,5,0
"73",25,5,0.00657894736842105
"74",26,5,0
"75",27,5,0
"76",28,5,0
"77",29,5,0
"78",30,5,0
"79",31,5,0
"80",32,5,0
"81",33,5,0
"82",34,5,0
"83",35,5,0
"84",36,5,0
"85",37,5,0
"86",38,5,0
"87",39,5,0
"88",40,5,0
"89",41,5,0
"90",42,5,0
"91",43,5,0
"92",44,5,0
"93",45,5,0
"94",46,5,0
"95",47,5,0
"96",48,5,0
"97",1,6,0.0263157894736842
"98",2,6,0.0789473684210526
"99",3,6,0.0263157894736842
"100",4,6,0.111842105263158
"101",5,6,0.131578947368421
"102",6,6,0.0855263157894737
"103",7,6,0.0526315789473684
"104",8,6,0.0526315789473684
"105",9,6,0.0328947368421053
"106",10,6,0.0263157894736842
"107",11,6,0.0723684210526316
"108",12,6,0.0328947368421053
"109",13,6,0.0394736842105263
"110",14,6,0.0197368421052632
"111",15,6,0.0197368421052632
"112",16,6,0.0197368421052632
"113",17,6,0.0263157894736842
"114",18,6,0.0592105263157895
"115",19,6,0.0197368421052632
"116",20,6,0.0131578947368421
"117",21,6,0.00657894736842105
"118",22,6,0.00657894736842105
"119",23,6,0.0263157894736842
"120",24,6,0
"121",25,6,0
"122",26,6,0
"123",27,6,0
"124",28,6,0.0131578947368421
"125",29,6,0
"126",30,6,0
"127",31,6,0
"128",32,6,0
"129",33,6,0
"130",34,6,0
"131",35,6,0
"132",36,6,0
"133",37,6,0
"134",38,6,0
"135",39,6,0
"136",40,6,0
"137",41,6,0
"138",42,6,0
"139",43,6,0
"140",44,6,0
"141",45,6,0
"142",46,6,0
"143",47,6,0
"144",48,6,0
"145",1,7,0.0236686390532544
"146",2,7,0.0710059171597633
"147",3,7,0.0650887573964497
"148",4,7,0.0591715976331361
"149",5,7,0.0650887573964497
"150",6,7,0.0887573964497041
"151",7,7,0.0236686390532544
"152",8,7,0.0473372781065089
"153",9,7,0.0650887573964497
"154",10,7,0.0473372781065089
"155",11,7,0.0473372781065089
"156",12,7,0.0710059171597633
"157",13,7,0.0473372781065089
"158",14,7,0.0473372781065089
"159",15,7,0.029585798816568
"160",16,7,0.0532544378698225
"161",17,7,0.0177514792899408
"162",18,7,0.0236686390532544
"163",19,7,0.0236686390532544
"164",20,7,0.0118343195266272
"165",21,7,0.029585798816568
"166",22,7,0.00591715976331361
"167",23,7,0.0118343195266272
"168",24,7,0.00591715976331361
"169",25,7,0
"170",26,7,0.0118343195266272
"171",27,7,0
"172",28,7,0
"173",29,7,0
"174",30,7,0.00591715976331361
"175",31,7,0
"176",32,7,0
"177",33,7,0
"178",34,7,0
"179",35,7,0
"180",36,7,0
"181",37,7,0
"182",38,7,0
"183",39,7,0
"184",40,7,0
"185",41,7,0
"186",42,7,0
"187",43,7,0
"188",44,7,0
"189",45,7,0
"190",46,7,0
"191",47,7,0
"192",48,7,0
"193",1,8,0.0274725274725275
"194",2,8,0.0164835164835165
"195",3,8,0.0604395604395604
"196",4,8,0.0659340659340659
"197",5,8,0.0714285714285714
"198",6,8,0.043956043956044
"199",7,8,0.0494505494505494
