"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"14",1966,"2025",401704797,20241116,"LAL","L. James","SF",1,37,8,19,2,7,3,5,4,3,7,5,1,0,6,1,1,21,"","401704797_1966",461,13,35.4615384615385,37,20241022,0,20241116
"157",2779,"2025",401704798,20241116,"SA","C. Paul","PG",1,25,4,9,2,4,1,1,1,4,5,3,2,0,2,2,-23,11,"","401704798_2779",398,14,28.4285714285714,25,20241024,0,20241116
"191",3012,"2025",401704811,20241118,"PHI","K. Lowry","PG",1,19,0,3,0,3,0,0,0,1,1,1,1,0,1,2,-18,0,"","401704811_3012",314,13,24.1538461538462,19,20241023,0,20241118
"279",3033,"2024",401655098,20240503,"LAC","P.J. Tucker","PF",1,20,3,5,2,3,0,0,2,0,2,0,0,0,3,5,-14,8,"","401655098_3033",517,33,15.6666666666667,20,20231026,0,20240503
"400",3195,"2025",401704800,20241117,"MIN","M. Conley","PG",1,30,1,2,1,1,0,1,0,4,4,3,2,0,1,0,14,3,"","401704800_3195",324,13,24.9230769230769,30,20241022,0,20241117
"529",3202,"2025",401704756,20241108,"PHX","K. Durant","PF",1,37,8,14,3,6,7,7,1,4,5,4,1,2,1,2,11,26,"","401704756_3202",350,9,38.8888888888889,37,20241023,0,20241108
"619",3209,"2025",401704814,20241118,"HOU","Je. Green","PF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,"","401704814_3209",27,5,5.4,2,20241023,0,20241118
"645",3213,"2025",401704796,20241116,"BOS","A. Horford","C",1,32,6,11,5,10,1,1,2,2,4,2,1,1,2,1,-7,18,"","401704796_3213",324,12,27,32,20241022,0,20241116
"722",3244,"2024",401655090,20240428,"PHX","T. Young","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655090_3244",NA,NA,13.1176470588235,4,20231025,0,20240428
"827",3416,"2025",401704817,20241118,"LAC","N. Batum","PF",0,20,3,6,3,5,0,0,0,3,3,0,0,0,1,0,4,9,"","401704817_3416",252,15,16.8,20,20241023,0,20241118
"899",3428,"2024",401655116,20240502,"MIL","D. Gallinari","PF",0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,-10,1,"","401655116_3428",671,52,12.9038461538462,4,20231025,0,20240502
"980",3431,"2025",401704811,20241118,"PHI","E. Gordon","SG",0,14,2,8,1,4,0,0,0,1,1,2,0,0,1,1,-3,5,"","401704811_3431",206,11,18.7272727272727,14,20241023,0,20241118
"1142",3442,"2025",401704804,20241117,"DEN","D. Jordan","C",0,14,2,3,0,0,0,0,0,2,2,0,0,0,0,1,-10,4,"","401704804_3442",34,3,11.3333333333333,14,20241024,0,20241117
"1193",3447,"2024",401585353,20240206,"MIL","R. Lopez","C",1,18,3,8,0,1,0,0,1,0,1,0,1,2,0,2,-13,6,"","401585353_3447",63,16,3.9375,18,20231026,0,20240206
"1236",3448,"2025",401704814,20241118,"MIL","B. Lopez","C",1,40,11,15,5,8,0,1,1,9,10,1,3,4,0,1,14,27,"","401704814_3448",453,14,32.3571428571429,40,20241023,0,20241118
"1353",3449,"2025",401704811,20241118,"MIA","K. Love","PF",0,15,1,6,1,3,0,0,1,6,7,1,2,0,1,0,6,3,"","401704811_3449",62,5,12.4,15,20241023,0,20241118
"1415",3452,"2024",401654661,20240419,"SAC","J. McGee","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401654661_3452",NA,NA,7.27659574468085,2,20231025,0,20240419
"1495",3456,"2024",401585473,20240228,"MEM","D. Rose","PG",0,6,1,2,0,0,0,0,0,0,0,1,0,0,1,0,-5,2,"","401585473_3456",399,24,16.625,6,20231025,0,20240228
